Scanning file v2-hostgraph_weighted.graph-txt : 11423
PageRank Iteration 1 : 6250
PageRank Iteration 2 : 2635
PageRank Iteration 3 : 2683
PageRank Iteration 4 : 2556
PageRank Iteration 5 : 2740
PageRank Iteration 6 : 2670
PageRank Iteration 7 : 2480
PageRank Iteration 8 : 2683
PageRank Iteration 9 : 2579
PageRank Iteration 10 : 2621
PageRank Iteration 11 : 2548
PageRank Iteration 12 : 2580
PageRank Iteration 13 : 2569
PageRank Iteration 14 : 2696
PageRank Iteration 15 : 2811
PageRank Iteration 16 : 3177
PageRank Iteration 17 : 3827
PageRank Iteration 18 : 3668
PageRank Iteration 19 : 3142
PageRank Iteration 20 : 4193
PageRank Iteration 21 : 2889
PageRank Iteration 22 : 2524
PageRank Iteration 23 : 3181
PageRank Iteration 24 : 3140
PageRank Iteration 25 : 3010
PageRank Iteration 26 : 2594
PageRank Iteration 27 : 2717
PageRank Iteration 28 : 3918
PageRank Iteration 29 : 2834
PageRank Iteration 30 : 3052
PageRank Iteration 31 : 2877
PageRank Iteration 32 : 2660
PageRank Iteration 33 : 3005
PageRank Iteration 34 : 4592
PageRank Iteration 35 : 4514
PageRank Iteration 36 : 3484
PageRank Iteration 37 : 5077
PageRank Iteration 38 : 2513
PageRank Iteration 39 : 2744
PageRank Iteration 40 : 2473
PageRank Iteration 41 : 3156
PageRank Iteration 42 : 2877
PageRank Iteration 43 : 2999
PageRank Iteration 44 : 3416
PageRank Iteration 45 : 3276
PageRank Iteration 46 : 4153
PageRank Iteration 47 : 3644
PageRank Iteration 48 : 3648
PageRank Iteration 49 : 2628
PageRank Iteration 50 : 3109
PageRank Iteration 51 : 4420
PageRank Iteration 52 : 3762
PageRank Iteration 53 : 3052
PageRank Iteration 54 : 3334
PageRank Iteration 55 : 4596
PageRank Iteration 56 : 4566
PageRank Iteration 57 : 3352
PageRank Iteration 58 : 2737
PageRank Iteration 59 : 3513
PageRank Iteration 60 : 3300
PageRank Iteration 61 : 3113
PageRank Iteration 62 : 3811
PageRank Iteration 63 : 3340
PageRank Iteration 64 : 4085
PageRank Iteration 65 : 3537
PageRank Iteration 66 : 3258
PageRank Iteration 67 : 3207
PageRank Iteration 68 : 3935
PageRank Iteration 69 : 3751
PageRank Iteration 70 : 2873
PageRank Iteration 71 : 5043
PageRank Iteration 72 : 3988
PageRank Iteration 73 : 3619
PageRank Iteration 74 : 3849
PageRank Iteration 75 : 4149
PageRank Iteration 76 : 4758
PageRank Iteration 77 : 3874
PageRank Iteration 78 : 3247
PageRank Iteration 79 : 3263
PageRank Iteration 80 : 3426
PageRank Iteration 81 : 2959
PageRank Iteration 82 : 3705
PageRank Iteration 83 : 3694
PageRank Iteration 84 : 4087
PageRank Iteration 85 : 3735
PageRank Iteration 86 : 4062
PageRank Iteration 87 : 4276
PageRank Iteration 88 : 3356
PageRank Iteration 89 : 4312
PageRank Iteration 90 : 3647
PageRank Iteration 91 : 3376
PageRank Iteration 92 : 4726
PageRank Iteration 93 : 3761
PageRank Iteration 94 : 3635
PageRank Iteration 95 : 3745
PageRank Iteration 96 : 3827
PageRank Iteration 97 : 3853
PageRank Iteration 98 : 3750
PageRank Iteration 99 : 3900
PageRank Iteration 100 : 3793
PageRank : 344860
SaveToFile : 6936
